"","parameter","index","simulation_value","IQR_min","IQR50_lower","IQR50_upper","mean","median","sd","n_series","n_observations","mean_IQR","mean_sd","model"
"1","rho","1",4.30695247033633,0.84,2.95374634470349,3.80730991120092,3.41726211206516,3.35016920157469,0.645767310632631,5,5,0.702,0.645767310632631,"pooled"
"2","rho","2",2.25370507586751,0.99,2.95374634470349,3.80730991120092,3.41726211206516,3.35016920157469,0.645767310632631,5,5,0.702,0.645767310632631,"pooled"
"3","rho","3",2.69200586052105,0.78,2.95374634470349,3.80730991120092,3.41726211206516,3.35016920157469,0.645767310632631,5,5,0.702,0.645767310632631,"pooled"
"4","rho","4",2.88722893720248,0.57,2.95374634470349,3.80730991120092,3.41726211206516,3.35016920157469,0.645767310632631,5,5,0.702,0.645767310632631,"pooled"
"5","rho","5",3.09339924955628,0.33,2.95374634470349,3.80730991120092,3.41726211206516,3.35016920157469,0.645767310632631,5,5,0.702,0.645767310632631,"pooled"
"6","alpha","1",2.91546624186282,0.06,2.52667604829565,3.27610451115219,2.93931012218871,2.87804212819039,0.567309681784092,5,5,0.686,0.567309681784092,"pooled"
"7","alpha","2",1.96006138868003,0.98,2.52667604829565,3.27610451115219,2.93931012218871,2.87804212819039,0.567309681784092,5,5,0.686,0.567309681784092,"pooled"
"8","alpha","3",2.42013653344334,0.65,2.52667604829565,3.27610451115219,2.93931012218871,2.87804212819039,0.567309681784092,5,5,0.686,0.567309681784092,"pooled"
"9","alpha","4",3.60975867744047,0.77,2.52667604829565,3.27610451115219,2.93931012218871,2.87804212819039,0.567309681784092,5,5,0.686,0.567309681784092,"pooled"
"10","alpha","5",1.97963704687468,0.97,2.52667604829565,3.27610451115219,2.93931012218871,2.87804212819039,0.567309681784092,5,5,0.686,0.567309681784092,"pooled"
"11","sigma","1",0.25,0.39,0.204137803651206,0.599474697741007,0.420507250028238,0.386597213248991,0.268748523870171,5,5,0.39,0.268748523870171,"pooled"
"12","sigma","2",0.25,0.39,0.204137803651206,0.599474697741007,0.420507250028238,0.386597213248991,0.268748523870171,5,5,0.39,0.268748523870171,"pooled"
"13","sigma","3",0.25,0.39,0.204137803651206,0.599474697741007,0.420507250028238,0.386597213248991,0.268748523870171,5,5,0.39,0.268748523870171,"pooled"
"14","sigma","4",0.25,0.39,0.204137803651206,0.599474697741007,0.420507250028238,0.386597213248991,0.268748523870171,5,5,0.39,0.268748523870171,"pooled"
"15","sigma","5",0.25,0.39,0.204137803651206,0.599474697741007,0.420507250028238,0.386597213248991,0.268748523870171,5,5,0.39,0.268748523870171,"pooled"
"16","rho","1",4.30695247033633,1,2.94129026751801,3.34979196148913,3.16140526255114,3.14454162420611,0.309670979758108,5,5,0.698,0.303190152790382,"non_pooled"
"17","rho","2",2.25370507586751,1,2.94012516515799,3.33296022146214,3.1493907857234,3.12040782109771,0.302710645601685,5,5,0.698,0.303190152790382,"non_pooled"
"18","rho","3",2.69200586052105,0.88,2.9050861308361,3.30726598478323,3.11465667360561,3.09886554530276,0.292191059874338,5,5,0.698,0.303190152790382,"non_pooled"
"19","rho","4",2.88722893720248,0.45,2.85719371347332,3.27996328015361,3.08072227690412,3.05982767899704,0.305498036959427,5,5,0.698,0.303190152790382,"non_pooled"
"20","rho","5",3.09339924955628,0.16,2.95208936296091,3.36156845815331,3.16844083165835,3.15728920042189,0.305880041758351,5,5,0.698,0.303190152790382,"non_pooled"
"21","alpha","1",2.91546624186282,0.96,1.60919416365502,2.21403390854563,1.93974659209958,1.90474109031,0.440066195516676,5,5,0.812,0.444316567374525,"non_pooled"
"22","alpha","2",1.96006138868003,0.98,0.160267642347536,0.68112784140868,0.473865480120479,0.346315956461318,0.431288814758628,5,5,0.812,0.444316567374525,"non_pooled"
"23","alpha","3",2.42013653344334,0.29,1.96471315042606,2.57906900627471,2.2865847803617,2.23691975214454,0.449882842939373,5,5,0.812,0.444316567374525,"non_pooled"
"24","alpha","4",3.60975867744047,1,1.48552233482991,2.13630209469746,1.82292731976162,1.7896004699271,0.50515330930905,5,5,0.812,0.444316567374525,"non_pooled"
"25","alpha","5",1.97963704687468,0.83,1.12919286712406,1.65665800205496,1.41217989939141,1.36634803708227,0.395191674348896,5,5,0.812,0.444316567374525,"non_pooled"
"26","sigma","1",0.25,1,0.579192508182311,0.804112456289588,0.701403085410054,0.683717955111967,0.168497502536608,5,5,1,0.168497502536608,"non_pooled"
"27","sigma","2",0.25,1,0.579192508182311,0.804112456289588,0.701403085410054,0.683717955111967,0.168497502536608,5,5,1,0.168497502536608,"non_pooled"
"28","sigma","3",0.25,1,0.579192508182311,0.804112456289588,0.701403085410054,0.683717955111967,0.168497502536608,5,5,1,0.168497502536608,"non_pooled"
