"","parameter","index","simulation_value","IQR","n_series","n_observations","mean_IQR","model"
"1","mu","1",0.406717168675689,1,5,5,0.644,"pooled"
"2","mu","2",-0.181346046682598,0.38,5,5,0.644,"pooled"
"3","mu","3",-0.407614143957681,0.92,5,5,0.644,"pooled"
"4","mu","4",-0.234746107450986,0.04,5,5,0.644,"pooled"
"5","mu","5",-0.390017423908062,0.88,5,5,0.644,"pooled"
"6","lambda","1",0.549139857824836,0.96,5,5,0.958,"pooled"
"7","lambda","2",0.550758858477596,0.96,5,5,0.958,"pooled"
"8","lambda","3",0.513504274819187,0.94,5,5,0.958,"pooled"
"9","lambda","4",0.608212477027756,0.97,5,5,0.958,"pooled"
"10","lambda","5",0.545129853948938,0.96,5,5,0.958,"pooled"
"11","sigma","1",0.0252113472355575,1,5,5,0.778,"pooled"
"12","sigma","2",0.402610409852177,0.99,5,5,0.778,"pooled"
"13","sigma","3",0.219951981502253,0.3,5,5,0.778,"pooled"
"14","sigma","4",0.167370546478352,0.6,5,5,0.778,"pooled"
"15","sigma","5",0.0597334961838089,1,5,5,0.778,"pooled"
"16","mu","1",0.406717168675689,0.88,5,5,0.686,"non_pooled"
"17","mu","2",-0.181346046682598,0.86,5,5,0.686,"non_pooled"
"18","mu","3",-0.407614143957681,0.51,5,5,0.686,"non_pooled"
"19","mu","4",-0.234746107450986,0.87,5,5,0.686,"non_pooled"
"20","mu","5",-0.390017423908062,0.31,5,5,0.686,"non_pooled"
"21","lambda","1",0.549139857824836,0.41,5,5,0.298,"non_pooled"
"22","lambda","2",0.550758858477596,0.16,5,5,0.298,"non_pooled"
"23","lambda","3",0.513504274819187,0.32,5,5,0.298,"non_pooled"
"24","lambda","4",0.608212477027756,0.19,5,5,0.298,"non_pooled"
"25","lambda","5",0.545129853948938,0.41,5,5,0.298,"non_pooled"
"26","sigma","1",0.0252113472355575,0.61,5,5,0.462,"non_pooled"
"27","sigma","2",0.402610409852177,0.19,5,5,0.462,"non_pooled"
"28","sigma","3",0.219951981502253,0.57,5,5,0.462,"non_pooled"
"29","sigma","4",0.167370546478352,0.37,5,5,0.462,"non_pooled"
"30","sigma","5",0.0597334961838089,0.57,5,5,0.462,"non_pooled"
"31","mu","1",0.406717168675689,0.68,5,5,0.556,"partially"
"32","mu","2",-0.181346046682598,0.75,5,5,0.556,"partially"
"33","mu","3",-0.407614143957681,0.51,5,5,0.556,"partially"
"34","mu","4",-0.234746107450986,0.74,5,5,0.556,"partially"
"35","mu","5",-0.390017423908062,0.1,5,5,0.556,"partially"
"36","lambda","1",0.549139857824836,0.54,5,5,0.612,"partially"
"37","lambda","2",0.550758858477596,0.73,5,5,0.612,"partially"
"38","lambda","3",0.513504274819187,0.59,5,5,0.612,"partially"
"39","lambda","4",0.608212477027756,0.65,5,5,0.612,"partially"
"40","lambda","5",0.545129853948938,0.55,5,5,0.612,"partially"
"41","sigma","1",0.0252113472355575,0.54,5,5,0.55,"partially"
"42","sigma","2",0.402610409852177,0.79,5,5,0.55,"partially"
"43","sigma","3",0.219951981502253,0.27,5,5,0.55,"partially"
"44","sigma","4",0.167370546478352,0.61,5,5,0.55,"partially"
"45","sigma","5",0.0597334961838089,0.54,5,5,0.55,"partially"
"46","mu","1",0.406717168675689,1,5,10,0.67,"pooled"
"47","mu","2",-0.181346046682598,0.41,5,10,0.67,"pooled"
"48","mu","3",-0.407614143957681,0.97,5,10,0.67,"pooled"
"49","mu","4",-0.234746107450986,0.03,5,10,0.67,"pooled"
"50","mu","5",-0.390017423908062,0.94,5,10,0.67,"pooled"
"51","lambda","1",0.549139857824836,1,5,10,1,"pooled"
"52","lambda","2",0.550758858477596,1,5,10,1,"pooled"
"53","lambda","3",0.513504274819187,1,5,10,1,"pooled"
"54","lambda","4",0.608212477027756,1,5,10,1,"pooled"
"55","lambda","5",0.545129853948938,1,5,10,1,"pooled"
"56","sigma","1",0.0252113472355575,1,5,10,0.8,"pooled"
