"","parameter","index","simulation_value","IQR_min","IQR50_lower","IQR50_upper","mean","median","sd","n_series","n_observations","mean_IQR","mean_sd","model"
"1","mu","1",-0.0443026255307121,0.37,-0.0951966895017734,-0.0360425516611705,-0.0654663255730088,-0.0692400452676558,0.0486613639393637,2,5,0.67,0.0486613639393637,"pooled"
"2","mu","2",0.0426543876519202,0.97,-0.0951966895017734,-0.0360425516611705,-0.0654663255730088,-0.0692400452676558,0.0486613639393637,2,5,0.67,0.0486613639393637,"pooled"
"3","lambda","1",0.510650413433062,0.48,0.503395465765132,0.807134945965197,0.652514604964905,0.650169040166217,0.192612457575739,2,5,0.435,0.192612457575739,"pooled"
"4","lambda","2",0.534906670598099,0.39,0.503395465765132,0.807134945965197,0.652514604964905,0.650169040166217,0.192612457575739,2,5,0.435,0.192612457575739,"pooled"
"5","sigma","1",0.124603998213721,0.03,0.0970581436140796,0.156683192017939,0.133347073098121,0.122888886048331,0.0509086230643025,2,5,0.155,0.0509086230643025,"pooled"
"6","sigma","2",0.139414363484151,0.28,0.0970581436140796,0.156683192017939,0.133347073098121,0.122888886048331,0.0509086230643025,2,5,0.155,0.0509086230643025,"pooled"
"7","mu","1",-0.0443026255307121,0.61,-0.133768373875505,-0.0576997223724235,-0.0963144492872372,-0.0965448629371619,0.0831031038133441,2,5,0.57,0.108100054490667,"non_pooled"
"8","mu","2",0.0426543876519202,0.53,-0.0936168126847434,0.0384920389976718,-0.0227226827098834,-0.0229087070490502,0.133097005167989,2,5,0.57,0.108100054490667,"non_pooled"
"9","lambda","1",0.510650413433062,0.47,0.496764016476258,0.829220170438024,0.657354888119863,0.656434148765967,0.200869613735605,2,5,0.385,0.200190567850244,"non_pooled"
"10","lambda","2",0.534906670598099,0.3,0.477621504586342,0.793171675724397,0.63303559317918,0.628977950106225,0.199511521964882,2,5,0.385,0.200190567850244,"non_pooled"
"11","sigma","1",0.124603998213721,0.09,0.0822879645286438,0.170003035254498,0.14627024568768,0.119729874623858,0.111315236527922,2,5,0.27,0.12907432105416,"non_pooled"
"12","sigma","2",0.139414363484151,0.45,0.134569071680244,0.270609871981969,0.227292657776341,0.185099032016276,0.146833405580397,2,5,0.27,0.12907432105416,"non_pooled"
"13","mu","1",-0.0443026255307121,0.38,-0.133196612724499,-0.0264259321508569,-0.0796860521527019,-0.0856887086216024,0.174960453837499,2,5,0.46,0.20117020880349,"partially"
"14","mu","2",0.0426543876519202,0.54,-0.0971462526622317,0.035419143135287,-0.023086361653727,-0.0316541889940145,0.22737996376948,2,5,0.46,0.20117020880349,"partially"
"15","lambda","1",0.510650413433062,0.24,0.178921158444754,0.636181221568298,0.432830102013622,0.401047147011003,0.287565595072213,2,5,0.295,0.281026244999471,"partially"
"16","lambda","2",0.534906670598099,0.35,0.189971060699021,0.63080522333974,0.417213865968502,0.387052614338759,0.27448689492673,2,5,0.295,0.281026244999471,"partially"
"17","sigma","1",0.124603998213721,0.2,0.0821232179715476,0.15603704497631,0.13253958075376,0.113320411759927,0.0817428338031607,2,5,0.19,0.0923897411214284,"partially"
"18","sigma","2",0.139414363484151,0.18,0.115721643792753,0.209687927151818,0.178311920493374,0.151335988445807,0.103036648439696,2,5,0.19,0.0923897411214284,"partially"
"19","mu","1",-0.0829139792338042,0.89,0.0388554345900752,0.148464218977908,0.0832766812297738,0.0956869184130667,0.101292189258042,2,10,0.815,0.101292189258042,"pooled"
"20","mu","2",0.174807899853899,0.74,0.0388554345900752,0.148464218977908,0.0832766812297738,0.0956869184130667,0.101292189258042,2,10,0.815,0.101292189258042,"pooled"
"21","lambda","1",0.400444677927537,0.32,0.358905912332354,0.577731634759004,0.477001259592072,0.454493092668996,0.151758287993284,2,10,0.435,0.151758287993284,"pooled"
"22","lambda","2",0.588288776983932,0.55,0.358905912332354,0.577731634759004,0.477001259592072,0.454493092668996,0.151758287993284,2,10,0.435,0.151758287993284,"pooled"
"23","sigma","1",0.406112801111002,0.84,0.165673636752162,0.299227299809288,0.243864200195214,0.218762049908741,0.106142659328319,2,10,0.92,0.106142659328319,"pooled"
"24","sigma","2",0.0529768100718666,1,0.165673636752162,0.299227299809288,0.243864200195214,0.218762049908741,0.106142659328319,2,10,0.92,0.106142659328319,"pooled"
"25","mu","1",-0.0829139792338042,0.63,-0.537763114217789,-0.136823356385068,-0.336238131585829,-0.342592876371856,0.312187973986924,2,10,0.58,0.17559692749925,"non_pooled"
"26","mu","2",0.174807899853899,0.53,0.12897341493336,0.173905087938806,0.149625716723643,0.153089674376831,0.0390058810115765,2,10,0.58,0.17559692749925,"non_pooled"
"27","lambda","1",0.400444677927537,0.7,0.455514147464073,0.760008691364995,0.607344801601982,0.598175781128056,0.189889158592109,2,10,0.505,0.193237492606623,"non_pooled"
"28","lambda","2",0.588288776983932,0.31,0.523036279025853,0.833769077203222,0.670340365976742,0.675604712798171,0.196585826621138,2,10,0.505,0.193237492606623,"non_pooled"
"29","sigma","1",0.406112801111002,0.87,0.546396197179085,0.8939492190261,0.737777412779835,0.698238755474427,0.268919318875621,2,10,0.87,0.152407862063996,"non_pooled"
"30","sigma","2",0.0529768100718666,0.87,0.0726112859769726,0.113753423436502,0.096617828800063,0.0908084395187511,0.0358964052523718,2,10,0.87,0.152407862063996,"non_pooled"
"31","mu","1",-0.0829139792338042,0.26,-0.446120916309827,0.0582959356819224,-0.180593883284512,-0.210080072495837,0.549542366466007,2,10,0.36,0.343990225388864,"partially"
"32","mu","2",0.174807899853899,0.46,0.11112702218956,0.178305306302849,0.146617444612861,0.149164766452379,0.138438084311722,2,10,0.36,0.343990225388864,"partially"
"33","lambda","1",0.400444677927537,0.05,0.238367028783191,0.619550815865469,0.439430211913181,0.415855364502776,0.24686939375402,2,10,0.245,0.248829236680384,"partially"
"34","lambda","2",0.588288776983932,0.44,0.238829481531162,0.616025943239505,0.44000806726177,0.413470060427,0.250789079606747,2,10,0.245,0.248829236680384,"partially"
